2025-09-02 23:03:54 status unpacked libodbcinst2:amd64 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 install libogdi4.1:amd64 <none> 4.1.1+ds-3build1
2025-09-02 23:03:54 status half-installed libogdi4.1:amd64 4.1.1+ds-3build1
2025-09-02 23:03:54 status unpacked libogdi4.1:amd64 4.1.1+ds-3build1
2025-09-02 23:03:54 install libpq5:amd64 <none> 16.9-0ubuntu0.24.04.1
2025-09-02 23:03:54 status half-installed libpq5:amd64 16.9-0ubuntu0.24.04.1
2025-09-02 23:03:54 status unpacked libpq5:amd64 16.9-0ubuntu0.24.04.1
2025-09-02 23:03:54 install librttopo1:amd64 <none> 1.1.0-3build2
2025-09-02 23:03:54 status half-installed librttopo1:amd64 1.1.0-3build2
2025-09-02 23:03:54 status unpacked librttopo1:amd64 1.1.0-3build2
2025-09-02 23:03:55 install libspatialite8t64:amd64 <none> 5.1.0-3build1
2025-09-02 23:03:55 status half-installed libspatialite8t64:amd64 5.1.0-3build1
2025-09-02 23:03:55 status unpacked libspatialite8t64:amd64 5.1.0-3build1
2025-09-02 23:03:55 install libxerces-c3.2t64:amd64 <none> 3.2.4+debian-1.2ubuntu2
2025-09-02 23:03:55 status half-installed libxerces-c3.2t64:amd64 3.2.4+debian-1.2ubuntu2
2025-09-02 23:03:55 status unpacked libxerces-c3.2t64:amd64 3.2.4+debian-1.2ubuntu2
2025-09-02 23:03:55 install libgdal34t64:amd64 <none> 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:55 status half-installed libgdal34t64:amd64 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:55 status unpacked libgdal34t64:amd64 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:55 install libcharls2:amd64 <none> 2.4.2-2build2
2025-09-02 23:03:55 status half-installed libcharls2:amd64 2.4.2-2build2
2025-09-02 23:03:55 status unpacked libcharls2:amd64 2.4.2-2build2
2025-09-02 23:03:55 install libsocket++1:amd64 <none> 1.12.13+git20131030.5d039ba-1build1
2025-09-02 23:03:55 status half-installed libsocket++1:amd64 1.12.13+git20131030.5d039ba-1build1
2025-09-02 23:03:55 status unpacked libsocket++1:amd64 1.12.13+git20131030.5d039ba-1build1
2025-09-02 23:03:55 install libgdcm3.0t64:amd64 <none> 3.0.22-2.1ubuntu1
2025-09-02 23:03:55 status half-installed libgdcm3.0t64:amd64 3.0.22-2.1ubuntu1
2025-09-02 23:03:55 status unpacked libgdcm3.0t64:amd64 3.0.22-2.1ubuntu1
2025-09-02 23:03:56 install libopencv-imgcodecs406t64:amd64 <none> 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:56 status half-installed libopencv-imgcodecs406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:56 status unpacked libopencv-imgcodecs406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:56 install libopencv-videoio406t64:amd64 <none> 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:56 status half-installed libopencv-videoio406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:56 status unpacked libopencv-videoio406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:56 install liblog4cplus-2.0.5t64:amd64 <none> 2.0.8-1.1ubuntu3
2025-09-02 23:03:56 status half-installed liblog4cplus-2.0.5t64:amd64 2.0.8-1.1ubuntu3
2025-09-02 23:03:56 status unpacked liblog4cplus-2.0.5t64:amd64 2.0.8-1.1ubuntu3
2025-09-02 23:03:56 install libopenvdb10.0t64:amd64 <none> 10.0.1-2.1build5
2025-09-02 23:03:56 status half-installed libopenvdb10.0t64:amd64 10.0.1-2.1build5
2025-09-02 23:03:56 status unpacked libopenvdb10.0t64:amd64 10.0.1-2.1build5
2025-09-02 23:03:56 install libopenimageio2.4t64:amd64 <none> 2.4.17.0+dfsg-1.1build4
2025-09-02 23:03:56 status half-installed libopenimageio2.4t64:amd64 2.4.17.0+dfsg-1.1build4
2025-09-02 23:03:56 status unpacked libopenimageio2.4t64:amd64 2.4.17.0+dfsg-1.1build4
2025-09-02 23:03:56 install libosdcpu3.5.0t64:amd64 <none> 3.5.0-2.1build1
2025-09-02 23:03:56 status half-installed libosdcpu3.5.0t64:amd64 3.5.0-2.1build1
2025-09-02 23:03:56 status unpacked libosdcpu3.5.0t64:amd64 3.5.0-2.1build1
2025-09-02 23:03:57 install libosdgpu3.5.0t64:amd64 <none> 3.5.0-2.1build1
2025-09-02 23:03:57 status half-installed libosdgpu3.5.0t64:amd64 3.5.0-2.1build1
2025-09-02 23:03:57 status unpacked libosdgpu3.5.0t64:amd64 3.5.0-2.1build1
2025-09-02 23:03:57 install libpotrace0:amd64 <none> 1.16-2build1
2025-09-02 23:03:57 status half-installed libpotrace0:amd64 1.16-2build1
2025-09-02 23:03:57 status unpacked libpotrace0:amd64 1.16-2build1
2025-09-02 23:03:57 install libspnav0:amd64 <none> 1.1-2
2025-09-02 23:03:57 status half-installed libspnav0:amd64 1.1-2
2025-09-02 23:03:57 status unpacked libspnav0:amd64 1.1-2
2025-09-02 23:03:57 install blender:amd64 <none> 4.0.2+dfsg-1ubuntu8
2025-09-02 23:03:57 status half-installed blender:amd64 4.0.2+dfsg-1ubuntu8
2025-09-02 23:03:57 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2025-09-02 23:03:57 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-09-02 23:03:57 status triggers-pending mate-menus:all 1.26.1+mint1
2025-09-02 23:03:57 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2025-09-02 23:03:57 status unpacked blender:amd64 4.0.2+dfsg-1ubuntu8
2025-09-02 23:03:57 install libhwloc-plugins:amd64 <none> 2.10.0-1build1
2025-09-02 23:03:57 status half-installed libhwloc-plugins:amd64 2.10.0-1build1
2025-09-02 23:03:57 status unpacked libhwloc-plugins:amd64 2.10.0-1build1
